10000
6 , 0, 3136
7.25 , 0, 4330
4 , 0, 2069
6 , 0, 583
3.75 , 0, 2685
7.75 , 0, 671
1034.75 , 0, 0
8.25 , 1, 1227
1008.25 , 1, 1
10.5 , 2, 7799
12.25 , 2, 4420
1022.75 , 2, 2
7.5 , 3, 8664
6.75 , 3, 8223
6.5 , 3, 7243
3.5 , 3, 4225
5.75 , 3, 5515
9.25 , 3, 4577
8.25 , 3, 508
11.25 , 3, 6288
10.75 , 3, 148
1069.5 , 3, 3
2.5 , 4, 4357
1.75 , 4, 7406
11.75 , 4, 960
3 , 4, 9667
5 , 4, 2459
1024 , 4, 4
0.25 , 5, 9221
7.25 , 5, 770
1007.5 , 5, 5
2.25 , 6, 2221
12 , 6, 9397
8.75 , 6, 5384
0.5 , 6, 7003
1023.5 , 6, 6
5.75 , 7, 9470
5.5 , 7, 7417
10.25 , 7, 2676
1.75 , 7, 4644
10.75 , 7, 8050
10.25 , 7, 1331
3.75 , 7, 2358
9.5 , 7, 169
6.75 , 7, 6842
4 , 7, 1745
1 , 7, 2036
2.25 , 7, 2362
1071.5 , 7, 7
4 , 8, 8957
11.75 , 8, 6229
9.25 , 8, 8213
3.25 , 8, 621
4.75 , 8, 6565
9 , 8, 9671
5 , 8, 1876
6 , 8, 8425
1053 , 8, 8
8.75 , 9, 1070
8 , 9, 9792
1016.75 , 9, 9
2 , 10, 6481
1.75 , 10, 7517
1.5 , 10, 9530
10.25 , 10, 7840
1.25 , 10, 6192
3.25 , 10, 183
4.5 , 10, 1327
8.5 , 10, 8456
8 , 10, 4824
4.75 , 10, 8862
1045.75 , 10, 10
3.75 , 11, 3847
9 , 11, 8561
0.75 , 11, 2278
5 , 11, 2153
9 , 11, 7172
11.75 , 11, 193
1.75 , 11, 5509
7.75 , 11, 3835
4 , 11, 1912
4.75 , 11, 5814
10.25 , 11, 3036
1067.75 , 11, 11
12 , 12, 1180
4.25 , 12, 6778
9 , 12, 8140
1025.25 , 12, 12
3.75 , 13, 8455
0.5 , 13, 2941
7 , 13, 4748
9.25 , 13, 2272
7.5 , 13, 8341
9.5 , 13, 8966
1.5 , 13, 3222
10.25 , 13, 3426
11.75 , 13, 8052
10.75 , 13, 2370
1071.75 , 13, 13
3.75 , 14, 502
7.75 , 14, 9232
5.5 , 14, 7363
1.5 , 14, 6729
12 , 14, 2934
11.25 , 14, 117
6.25 , 14, 8627
3.75 , 14, 150
9 , 14, 8054
12 , 14, 7932
7.5 , 14, 2853
1080.25 , 14, 14
6.5 , 15, 5894
10.75 , 15, 8239
2.25 , 15, 8562
1019.5 , 15, 15
4.25 , 16, 489
10.25 , 16, 1806
3.75 , 16, 291
2.75 , 16, 1069
1.75 , 16, 7837
11.5 , 16, 8700
6 , 16, 2537
10.5 , 16, 5029
1050.75 , 16, 16
0.5 , 17, 4210
1000.5 , 17, 17
9 , 18, 5108
1.25 , 18, 8350
11.25 , 18, 7176
1 , 18, 896
1 , 18, 1388
3.5 , 18, 2977
10 , 18, 5751
5 , 18, 7376
1042 , 18, 18
3.75 , 19, 2624
1.25 , 19, 5767
2.25 , 19, 246
4.25 , 19, 8032
4.5 , 19, 8160
1016 , 19, 19
5.5 , 20, 1800
7.25 , 20, 4576
4 , 20, 1475
7.75 , 20, 989
12 , 20, 160
4.25 , 20, 7777
10.75 , 20, 974
1051.5 , 20, 20
11.5 , 21, 1024
5.5 , 21, 6527
7 , 21, 5370
12 , 21, 1532
1.5 , 21, 6067
8.25 , 21, 6249
1.5 , 21, 1025
9.5 , 21, 3419
2.5 , 21, 1573
2.75 , 21, 2983
4.5 , 21, 3342
9.25 , 21, 9132
1075.75 , 21, 21
6 , 22, 4282
10 , 22, 8260
2.5 , 22, 7407
5 , 22, 6823
2.75 , 22, 5705
10.5 , 22, 6625
1036.75 , 22, 22
4 , 23, 6373
4.75 , 23, 9285
1008.75 , 23, 23
11.5 , 24, 1181
6.75 , 24, 4018
7.25 , 24, 1828
1025.5 , 24, 24
1.25 , 25, 4501
5.25 , 25, 8789
6 , 25, 2175
3.5 , 25, 4647
10.75 , 25, 56
4.75 , 25, 6596
1031.5 , 25, 25
0.25 , 26, 739
8.25 , 26, 778
1008.5 , 26, 26
7.75 , 27, 180
8.75 , 27, 4225
1016.5 , 27, 27
1 , 28, 3248
6.5 , 28, 9214
10.25 , 28, 8356
3.5 , 28, 2135
10.75 , 28, 201
5 , 28, 5352
10.75 , 28, 5942
1047.75 , 28, 28
11.25 , 29, 7542
7.25 , 29, 7078
1.25 , 29, 6082
4.75 , 29, 9580
10 , 29, 1888
9.75 , 29, 8996
7.5 , 29, 265
7.75 , 29, 9708
10.5 , 29, 3262
8.5 , 29, 5219
1078.5 , 29, 29
12 , 30, 3086
7 , 30, 6160
5.5 , 30, 8217
10.5 , 30, 6470
1035 , 30, 30
6.25 , 31, 261
0.75 , 31, 4871
3.5 , 31, 689
4.5 , 31, 2147
2.25 , 31, 5927
8.5 , 31, 3456
11.25 , 31, 452
6.5 , 31, 1929
0.75 , 31, 9883
11.25 , 31, 6682
7.75 , 31, 1993
1063.25 , 31, 31
1.5 , 32, 4150
0.5 , 32, 484
1.5 , 32, 9834
12 , 32, 2828
1015.5 , 32, 32
2.5 , 33, 6832
9.25 , 33, 4723
6.25 , 33, 5254
5 , 33, 3342
6.25 , 33, 7858
12 , 33, 3809
8.75 , 33, 2230
1050 , 33, 33
12 , 34, 3934
8.5 , 34, 2294
4.5 , 34, 1662
10.75 , 34, 3065
5 , 34, 8758
5.5 , 34, 8210
9.5 , 34, 8432
2.25 , 34, 4676
6.5 , 34, 6980
0.25 , 34, 7033
4.5 , 34, 4502
1069.25 , 34, 34
6.25 , 35, 7812
2.25 , 35, 9296
11.75 , 35, 4294
6.25 , 35, 8289
11.5 , 35, 8030
10 , 35, 4438
0.5 , 35, 9876
0.25 , 35, 3288
1048.75 , 35, 35
1.75 , 36, 7256
10.5 , 36, 3462
11.75 , 36, 4294
2.25 , 36, 5140
1.25 , 36, 9229
1027.5 , 36, 36
9.75 , 37, 5588
0.75 , 37, 8208
10.5 , 37, 5797
1021 , 37, 37
0.75 , 38, 333
8.5 , 38, 5145
6.5 , 38, 8588
1.25 , 38, 3691
1017 , 38, 38
6 , 39, 2154
12 , 39, 64
1.75 , 39, 9191
10.75 , 39, 1181
3 , 39, 508
7 , 39, 5322
11.25 , 39, 2145
10.5 , 39, 1222
2 , 39, 7290
0.25 , 39, 1660
9.75 , 39, 1243
4.25 , 39, 2280
1078.5 , 39, 39
3.25 , 40, 6355
3.5 , 40, 2714
8 , 40, 5161
1 , 40, 1317
11 , 40, 3003
5.75 , 40, 9420
4 , 40, 1289
11.5 , 40, 8337
4 , 40, 3354
4.75 , 40, 8063
1056.75 , 40, 40
8.75 , 41, 8105
4.5 , 41, 9148
3.75 , 41, 2512
8 , 41, 2426
8.75 , 41, 9352
6.5 , 41, 2397
2.25 , 41, 1888
5.5 , 41, 178
9.5 , 41, 7482
1.75 , 41, 3198
5 , 41, 764
1064.25 , 41, 41
2.25 , 42, 267
1002.25 , 42, 42
0.75 , 43, 378
3.5 , 43, 9062
0.5 , 43, 2143
4.75 , 43, 4444
5.25 , 43, 496
5.75 , 43, 2008
6.5 , 43, 139
1 , 43, 9451
8.5 , 43, 6156
1036.5 , 43, 43
2 , 44, 3761
12.25 , 44, 3334
8 , 44, 2705
1.75 , 44, 3840
10.75 , 44, 4598
11.25 , 44, 2317
11.25 , 44, 8028
5.5 , 44, 3537
10.25 , 44, 444
7.75 , 44, 1201
1080.75 , 44, 44
7 , 45, 7452
1.75 , 45, 8586
11.75 , 45, 7696
7.75 , 45, 2388
11.5 , 45, 9670
9.25 , 45, 1528
4.75 , 45, 2529
4.5 , 45, 4592
6.25 , 45, 8963
7.5 , 45, 7055
4.5 , 45, 7745
1076.5 , 45, 45
11 , 46, 257
3.25 , 46, 3986
2.25 , 46, 4979
3.25 , 46, 1352
9.75 , 46, 2838
0.5 , 46, 3810
4 , 46, 8608
6.5 , 46, 2225
2.75 , 46, 8580
9.5 , 46, 5529
0.75 , 46, 4211
4 , 46, 9642
1057.5 , 46, 46
7.5 , 47, 6451
5 , 47, 8944
9.5 , 47, 9279
7.5 , 47, 2680
10 , 47, 7487
11.25 , 47, 5749
4.25 , 47, 185
6.5 , 47, 3473
11.25 , 47, 4616
9.75 , 47, 6871
12.25 , 47, 3100
2.75 , 47, 5425
1097.5 , 47, 47
11.75 , 48, 3586
2.5 , 48, 8157
